"C_qoe","C_accep","duration_surfing","duration_prompt","cond_code","prompt_type","site_index","site_name","dl_bandwidth","ul_bandwidth","rtt_delay","usr_id"
"4","1","174","15","WIKI_5","web","2","wikipedia.de","1024","384","80","13"
" "," ","257"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","13"
"3","1","161","14","SPIEGEL_5","web","1","spiegel.de","1024","384","80","13"
"2","1","162","9","SPIEGEL_3","web","1","spiegel.de","256","384","80","13"
" "," ","171"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","15"
"1,5","0","174","16","SPIEGEL_1","web","1","spiegel.de","64","384","80","15"
"4","1","156","8","SPIEGEL_2","web","1","spiegel.de","128","384","80","15"
" "," ","170"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","15"
"1","0","156","12","EXP_0","web","4","expedia.de","32","384","80","15"
"4","1","162","9","EXP_4","web","4","expedia.de","512","384","80","15"
"3","1","153","11","EXP_2","web","4","expedia.de","128","384","80","15"
" "," ","169"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","15"
"4","1","160","10","CHEF_1","web","5","chefkoch.de","64","384","80","15"
"4,5","1","157","10","CHEF_5","web","5","chefkoch.de","1024","384","80","15"
"4,5","1","157","10","CHEF_3","web","5","chefkoch.de","256","384","80","15"
" "," ","154"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","15"
"2","0","154","13","WIKI_0","web","2","wikipedia.de","32","384","80","15"
"4,5","1","193","13","WIKI_4","web","2","wikipedia.de","512","384","80","15"
"4,5","1","155","16","WIKI_2","web","2","wikipedia.de","128","384","80","15"
" "," ","162"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","15"
"4","1","195","8","SPIEGEL_3","web","1","spiegel.de","256","384","80","15"
"4,5","1","173","7","SPIEGEL_4","web","1","spiegel.de","512","384","80","15"
"4,5","1","167","11","SPIEGEL_5","web","1","spiegel.de","1024","384","80","15"
" "," ","178"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","17"
"3,5","1","169","14","SPIEGEL_3","web","1","spiegel.de","256","384","80","17"
"4","1","170","12","SPIEGEL_4","web","1","spiegel.de","512","384","80","17"
"3","1","160","11","SPIEGEL_2","web","1","spiegel.de","128","384","80","17"
" "," ","207"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","17"
"2,5","1","186","20","WIKI_1","web","2","wikipedia.de","64","384","80","17"
"4","1","172","22","WIKI_5","web","2","wikipedia.de","1024","384","80","17"
"4","1","247","21","WIKI_3","web","2","wikipedia.de","256","384","80","17"
" "," ","158"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","17"
"2","0","154","13","EXP_1","web","4","expedia.de","64","384","80","17"
"3","1","149","12","EXP_5","web","4","expedia.de","1024","384","80","17"
"4","1","172","10","EXP_3","web","4","expedia.de","256","384","80","17"
" "," ","178"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","17"
"2","0","162","17","CHEF_0","web","5","chefkoch.de","32","384","80","17"
"4","1","161","11","CHEF_4","web","5","chefkoch.de","512","384","80","17"
"4,5","1","153","11","CHEF_2","web","5","chefkoch.de","128","384","80","17"
" "," ","152"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","17"
"4,5","1","166","10","SPIEGEL_1","web","1","spiegel.de","64","384","80","17"
"4,5","1","3","11","SPIEGEL_5","web","1","spiegel.de","1024","384","80","17"
" "," ","175"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","19"
"2,5","0","174","39","SPIEGEL_1","web","1","spiegel.de","64","384","80","19"
"4","1","157","25","SPIEGEL_5","web","1","spiegel.de","1024","384","80","19"
"2,5","1","154","20","SPIEGEL_2","web","1","spiegel.de","128","384","80","19"
" "," ","173"," ","WARMUP_WIKI","warmup","2","wikipedia.de","2048","1024","2","19"
"4,5","1","154","16","WIKI_4","web","2","wikipedia.de","512","384","80","19"
"4","1","166","14","WIKI_2","web","2","wikipedia.de","128","384","80","19"
"1,5","1","201","45","WIKI_0","web","2","wikipedia.de","32","384","80","19"
" "," ","153"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","19"
"4","1","146","9","EXP_4","web","4","expedia.de","512","384","80","19"
"2,5","1","155","13","EXP_2","web","4","expedia.de","128","384","80","19"
"1","0","127","15","EXP_0","web","4","expedia.de","32","384","80","19"
" "," ","172"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","19"
"4,5","1","162","12","CHEF_5","web","5","chefkoch.de","1024","384","80","19"
"4,5","1","152","8","CHEF_3","web","5","chefkoch.de","256","384","80","19"
"3,5","1","146","9","CHEF_1","web","5","chefkoch.de","64","384","80","19"
" "," ","129"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","19"
"3,5","1","127","9","SPIEGEL_4","web","1","spiegel.de","512","384","80","19"
"4","1","133","22","SPIEGEL_3","web","1","spiegel.de","256","384","80","19"
" "," ","156"," ","WARMUP_SPI","warmup","1","spiegel.de","2048","1024","2","21"
"2,5","1","161","15","SPIEGEL_3","web","1","spiegel.de","256","384","80","21"
"2","1","167","10","SPIEGEL_2","web","1","spiegel.de","128","384","80","21"
" "," ","183"," ","WARMUP_EXP","warmup","4","expedia.de","2048","1024","2","21"
"1,5","1","159","13","EXP_5","web","4","expedia.de","1024","384","80","21"
"1,5","1","162","13","EXP_1","web","4","expedia.de","64","384","80","21"
"2","1","160","13","EXP_3","web","4","expedia.de","256","384","80","21"
" "," ","178"," ","WARMUP_CHEF","warmup","5","chefkoch.de","2048","1024","2","21"
"3","1","172","11","CHEF_4","web","5","chefkoch.de","512","384","80","21"
